gender,age,ex,max_abs_delta,identical,n_rows_pfra,n_rows_current
M,<25,run,5.5,False,21,21
M,<25,hamr,4.5,False,21,21
M,<25,pushups,4.300000000000001,False,26,38
M,<25,hrpu,8.6,False,26,26
M,<25,situps,3.2,False,26,20
M,<25,clrc,8.8,False,26,29
M,<25,plank,6.0,False,26,12
M,25-29,run,6.0,False,21,21
M,25-29,hamr,3.0,False,21,21
M,25-29,pushups,4.5,False,26,36
M,25-29,hrpu,8.0,False,26,26
M,25-29,situps,3.7,False,26,19
M,25-29,clrc,7.0,False,26,29
M,25-29,plank,6.0,False,26,12
M,30-34,run,6.0,False,21,21
M,30-34,hamr,4.0,False,21,21
M,30-34,pushups,5.800000000000001,False,26,34
M,30-34,hrpu,7.4,False,26,26
M,30-34,situps,3.7,False,26,19
M,30-34,clrc,8.2,False,26,29
M,30-34,plank,6.0,False,26,12
M,35-39,run,6.5,False,21,21
M,35-39,hamr,3.0,False,21,21
M,35-39,pushups,5.300000000000001,False,26,31
M,35-39,hrpu,6.800000000000001,False,26,26
M,35-39,situps,3.7,False,26,19
M,35-39,clrc,7.9,False,26,29
M,35-39,plank,6.0,False,26,12
M,40-44,run,6.5,False,21,21
M,40-44,hamr,4.0,False,21,21
M,40-44,pushups,6.0,False,26,27
M,40-44,hrpu,6.800000000000001,False,26,26
M,40-44,situps,3.2,False,26,20
M,40-44,clrc,7.9,False,26,29
M,40-44,plank,6.0,False,26,12
M,45-49,run,6.5,False,21,21
M,45-49,hamr,3.0,False,21,21
M,45-49,pushups,5.699999999999999,False,26,30
M,45-49,hrpu,6.199999999999999,False,26,26
M,45-49,situps,3.3000000000000007,False,26,21
M,45-49,clrc,8.3,False,26,33
M,45-49,plank,6.0,False,26,12
M,50-54,run,5.5,False,21,21
M,50-54,hamr,1.7000000000000028,False,21,21
M,50-54,pushups,6.5,False,26,25
M,50-54,hrpu,6.300000000000001,False,26,25
M,50-54,situps,3.0,False,26,22
M,50-54,clrc,8.2,False,26,34
M,50-54,plank,6.0,False,26,12
M,55-59,run,6.0,False,21,21
M,55-59,hamr,1.7000000000000028,False,21,21
M,55-59,pushups,5.6,False,26,22
M,55-59,hrpu,6.0,False,26,24
M,55-59,situps,3.5,False,26,23
M,55-59,clrc,7.9,False,26,34
M,55-59,plank,6.0,False,26,12
M,60+,run,6.5,False,21,21
M,60+,hamr,3.299999999999997,False,21,21
M,60+,pushups,4.5,False,26,20
M,60+,hrpu,5.4,False,26,21
M,60+,situps,4.0,False,26,24
M,60+,clrc,8.2,False,26,29
M,60+,plank,6.0,False,26,12
F,<25,run,8.0,False,21,21
F,<25,hamr,6.5,False,21,21
F,<25,pushups,5.0,False,26,33
F,<25,hrpu,8.3,False,26,26
F,<25,situps,3.2,False,26,20
F,<25,clrc,9.6,False,26,37
F,<25,plank,6.0,False,26,13
F,25-29,run,8.5,False,21,21
F,25-29,hamr,6.5,False,21,21
F,25-29,pushups,4.300000000000001,False,26,34
F,25-29,hrpu,7.699999999999999,False,26,26
F,25-29,situps,3.2,False,26,20
F,25-29,clrc,9.6,False,26,37
F,25-29,plank,6.9,False,26,13
F,30-34,run,9.0,False,21,21
F,30-34,hamr,6.0,False,21,21
F,30-34,pushups,6.300000000000001,False,26,36
F,30-34,hrpu,7.1,False,26,26
F,30-34,situps,3.2,False,26,20
F,30-34,clrc,9.3,False,26,36
F,30-34,plank,6.4,False,26,13
F,35-39,run,9.0,False,21,21
F,35-39,hamr,4.0,False,21,21
F,35-39,pushups,5.800000000000001,False,26,33
F,35-39,hrpu,6.5,False,26,26
F,35-39,situps,3.2,False,26,20
F,35-39,clrc,9.2,False,26,37
F,35-39,plank,6.4,False,26,12
F,40-44,run,9.5,False,21,21
F,40-44,hamr,2.700000000000003,False,21,21
F,40-44,pushups,6.199999999999999,False,26,31
F,40-44,hrpu,6.800000000000001,False,26,25
F,40-44,situps,3.0,False,26,21
F,40-44,clrc,9.0,False,26,37
F,40-44,plank,6.4,False,26,13
F,45-49,run,9.5,False,21,21
F,45-49,hamr,2.1000000000000014,False,21,21
F,45-49,pushups,5.800000000000001,False,26,31
F,45-49,hrpu,6.199999999999999,False,26,25
F,45-49,situps,4.7,False,26,17
F,45-49,clrc,8.8,False,26,35
F,45-49,plank,6.4,False,26,13
F,50-54,run,9.0,False,21,21
F,50-54,hamr,3.299999999999997,False,21,21
F,50-54,pushups,6.0,False,26,30
F,50-54,hrpu,6.5,False,26,25
F,50-54,situps,4.2,False,26,16
F,50-54,clrc,8.4,False,26,34
F,50-54,plank,6.4,False,26,13
F,55-59,run,11.0,False,21,21
F,55-59,hamr,3.299999999999997,False,21,21
F,55-59,pushups,5.0,False,26,24
F,55-59,hrpu,5.9,False,26,25
F,55-59,situps,2.7,False,26,21
F,55-59,clrc,8.1,False,26,33
F,55-59,plank,6.4,False,26,13
F,60+,run,12.5,False,21,21
F,60+,hamr,2.1000000000000014,False,21,21
F,60+,pushups,4.300000000000001,False,26,18
F,60+,hrpu,5.4,False,26,24
F,60+,situps,4.5,False,26,24
F,60+,clrc,8.3,False,26,28
F,60+,plank,5.9,False,26,13
